drop_rate,ball_effect_ticks,b3_mean_frac,b3_pass,b3_margin,b1_drop_mean_reference_only,b2_recovery_sec_reference_only
0.05,2,0.11333958333333333,True,-0.7166510416666667,11.4021875,62.167862097719876
0.05,3,0.16105520833333334,True,-0.5973619791666667,11.19625,63.40449082865408
0.05,4,0.20317083333333333,True,-0.49207291666666675,11.5678125,64.68121394450299
0.05,5,0.24132777777777778,True,-0.3966805555555556,11.173125,61.603965299387085
0.05,6,0.27531666666666665,True,-0.31170833333333337,10.930625,62.9740173371399
0.1,2,0.211928125,True,-0.47017968750000005,6.7896875,32.11974559349193
0.1,3,0.29269756944444447,True,-0.2682560763888888,6.7078125,31.430515382988627
0.1,4,0.35941354166666667,True,-0.10146614583333335,6.7434375,32.934193029356656
0.1,5,0.41517777777777776,False,0.037944444444444336,6.8790625,32.17239495922906
0.1,6,0.46186319444444446,False,0.15465798611111103,6.605625,32.10680263004578
0.15,2,0.2997472222222222,True,-0.2506319444444445,5.358125,21.569682202074656
0.15,3,0.39990902777777776,True,-0.00022743055555562997,5.1925,21.73784128406122
0.15,4,0.4785,False,0.1962499999999998,5.30375,21.58423043065362
0.15,5,0.5413381944444444,False,0.35334548611111094,5.3021875,21.59814969904018
0.15,6,0.591678125,False,0.47919531250000014,5.1521875,21.76708967229394
0.2,2,0.37636736111111113,True,-0.05908159722222217,4.481875,15.951790286160035
0.2,3,0.4884722222222222,False,0.2211805555555555,4.51875,16.391099423410346
0.2,4,0.5715461805555555,False,0.42886545138888876,4.5634375,16.06379640346575
0.2,5,0.6340684027777778,False,0.5851710069444442,4.57375,15.962084097521
0.2,6,0.6829461805555556,False,0.7073654513888887,4.5890625,16.37447680393362
0.3,2,0.5037364583333334,False,0.25934114583333323,3.86125,10.884907827341591
0.3,3,0.6241451388888889,False,0.5603628472222222,3.770625,10.652449647116088
0.3,4,0.7038934027777778,False,0.7597335069444444,3.80125,10.680403795620437
0.3,5,0.7581184027777778,False,0.8952960069444442,3.8234375,10.614586692537797
0.3,6,0.7950697916666667,False,0.9876744791666667,3.763125,10.832499651196192
