drop_rate,weaken_multiplier,laser_frac_target,baseline_damage_mean_no_laser,laser_dps_per_stage,laser_frac_achieved,natural_clear_rate,damage_mean,relay_reached_frac,relay_median_min,relay_p90_min,b3_mean_frac,b1_ref_drops_per_session,b2_ref_recovery_sec,weaken_uptime_ref,meets_natural_zero,meets_reached_full,meets_median_23_24min,meets_b3,meets_laser_band,all_pass
0.05,1.3,0.05,57489.3007500003,0.375,0.05758173402378785,0.0,60921.45066666706,1.0,22.109693333333333,22.504924444444445,0.09818854166666667,16.6634375,86.49368374865864,0.015943055555555554,True,True,False,True,True,False
0.05,1.3,0.07,57577.4852500003,0.375,0.05888668739661666,0.0,60765.98920833371,1.0,22.109693333333333,22.45842666666667,0.0978204861111111,16.4275,84.00711983081179,0.016001041666666667,True,True,False,True,True,False
0.05,1.5,0.05,57795.08625,0.375,0.057679795399561314,0.0,61148.7175,1.0,21.900453333333335,22.38868,0.09795833333333333,16.5028125,82.5913879090135,0.01591388888888889,True,True,False,True,True,False
0.05,1.5,0.07,57808.5425,0.375,0.05892192533655377,0.0,61095.77416666667,1.0,21.877204444444445,22.272435555555553,0.0981232638888889,16.72,83.06033626339006,0.015782291666666667,True,True,False,True,True,False
0.05,1.7,0.05,58064.95524999969,0.375,0.06192451384003991,0.0,61545.82516666628,1.0,21.807457777777778,22.179440000000003,0.09750798611111111,16.254375,84.13900149505668,0.016020833333333335,True,True,False,True,True,False
0.05,1.7,0.07,58280.12649999969,0.375,0.05751312263366362,0.0,61606.80608333295,1.0,21.877204444444445,22.295684444444444,0.09841840277777777,16.3165625,83.07049417989418,0.01582673611111111,True,True,False,True,True,False
0.08,1.3,0.05,57872.31875000049,0.375,0.06333272783372099,0.0,61609.59483333395,1.0,21.877204444444445,22.249186666666667,0.1529934027777778,11.388125,52.973059597356695,0.025513194444444446,True,True,False,True,True,False
0.08,1.3,0.07,57780.66325000048,0.375,0.06462318299885753,0.0,61448.22683333394,1.0,21.9702,22.41192888888889,0.15292083333333334,11.1890625,53.88537287516987,0.025453125,True,True,False,True,True,False
0.08,1.5,0.05,58471.375,0.375,0.05884706939934287,0.0,62049.6225,1.0,21.667964444444447,22.132942222222223,0.152421875,11.1246875,54.59407647657044,0.02546736111111111,True,True,False,True,True,False
0.08,1.5,0.07,58511.9175,0.375,0.06003775854722237,0.0,62111.95520833333,1.0,21.644715555555553,22.06319555555556,0.15237604166666666,11.3653125,55.11595388518129,0.025332291666666666,True,True,False,True,True,False
0.08,1.7,0.05,59075.843249999496,0.375,0.06055669696259318,0.016666666666666666,62682.92841666604,1.0,21.505222222222226,21.877204444444445,0.15300729166666666,11.0959375,53.736893157448115,0.025541319444444446,False,True,False,True,True,False
0.08,1.7,0.07,58978.4174999995,0.375,0.062416019597336475,0.03,62670.69754166603,1.0,21.528471111111113,21.877204444444445,0.15307569444444444,11.155,54.215198371923364,0.025394791666666666,False,True,False,True,True,False
0.1,1.3,0.05,58026.851000000606,0.28125,0.04823705505318769,0.0,60786.2950208341,1.0,22.06319555555556,22.38868,0.18755416666666666,9.444375,43.55895649082127,0.031828125,True,True,False,True,True,False
0.1,1.3,0.07,58155.26400000062,0.375,0.06342205109756012,0.0,61725.94125000076,1.0,21.807457777777778,22.179440000000003,0.1875454861111111,9.4303125,43.741262131729144,0.03194548611111111,True,True,False,True,True,False
0.1,1.5,0.05,58896.43,0.375,0.06198345765609227,0.02,62593.34333333333,1.0,21.59821777777778,22.01669777777778,0.18773784722222223,9.4559375,44.10663021867275,0.03172534722222222,False,True,False,True,True,False
0.1,1.5,0.07,58867.38375,0.375,0.06260286495235999,0.013333333333333334,62544.488958333335,1.0,21.528471111111113,22.01669777777778,0.18744166666666667,9.1821875,43.3739518621974,0.03197013888888889,False,True,False,True,True,False
0.1,1.7,0.05,59387.63924999938,0.1875,0.03503103551973701,0.0,61519.90824999943,1.0,21.853955555555558,22.295684444444444,0.18714756944444444,9.42875,43.3519729879741,0.03179166666666667,True,True,False,True,True,False
0.1,1.7,0.07,59560.437999999376,0.375,0.06156574834959848,0.08,63319.16816666586,1.0,21.31923111111111,21.714462222222224,0.187759375,9.4090625,43.409319505247964,0.03181770833333333,False,True,False,True,True,False
