N,serve_mode,decay_on,weakest_vanish,trials,ticks,loop_events_total,trials_with_loop_frac,loops_per_trial_mean,loop_time_mean,loop_time_median,loop_time_p10,loop_time_p90,loop_within_100t_frac,loop_within_300t_frac,loop_within_600t_frac,mean_pop_avg_over_worlds,starve_frac_avg_over_worlds,overflow_frac_avg_over_worlds,ever_reinforced_total,upcross_events_total,interrupted_events_total,vanished_total,interrupted_rate,total_balls_served
3,inf,True,True,1200,1500,158777,1.0,132.31416666666667,760.7151350636427,760,174,1348,0.9991666666666666,1.0,1.0,2.9979999999999998,0.025250925925925927,0.6246325925925925,11073,640711,108508,595,0.16935560650589734,11395
3,inf,True,False,1200,1500,158746,1.0,132.28833333333333,766.3735779169239,766,181,1352,1.0,1.0,1.0,2.998,0.025122222222222223,0.6252425925925926,10800,640983,108694,0,0.1695739200571622,10800
3,inf,False,True,1200,1500,158173,1.0,131.81083333333333,765.6983682423676,766,179,1352,0.9991666666666666,1.0,1.0,2.9979999999999998,0.025362592592592593,0.6249803703703704,10800,639214,108551,0,0.1698194970698389,10800
3,inf,False,False,1200,1500,158405,1.0,132.00416666666666,766.9278873772923,767,181,1353,1.0,1.0,1.0,2.998,0.025320370370370368,0.6253166666666666,10800,640060,108752,0,0.16990907102459143,10800
3,interval,True,True,1200,1500,154685,1.0,128.90416666666667,739.9609011862818,739,169,1311,0.9475,1.0,1.0,2.9172214814814814,0.029477962962962963,0.5966188888888889,11071,625194,106426,598,0.1702287609925879,11398
3,interval,True,False,1200,1500,154804,1.0,129.00333333333333,746.369996899305,746,174,1317,0.9408333333333333,1.0,1.0,2.92,0.028697592592592594,0.5982807407407408,10800,624809,105771,0,0.16928533359794753,10800
3,interval,False,True,1200,1500,154409,1.0,128.67416666666668,746.4162581196692,746,176,1317,0.945,1.0,1.0,2.92,0.028968703703703705,0.5974546296296297,10800,623022,105383,0,0.1691481199700813,10800
3,interval,False,False,1200,1500,154222,1.0,128.51833333333335,747.5903308218024,747,177,1318,0.945,1.0,1.0,2.92,0.02897777777777778,0.5974609259259259,10800,623841,105976,0,0.1698766192026494,10800
4,inf,True,True,1200,1500,135914,1.0,113.26166666666667,766.1497123180835,765,184,1348,0.995,1.0,1.0,2.998,0.030934444444444445,0.6115518055555555,14780,854258,160952,835,0.18841146351570603,15235
4,inf,True,False,1200,1500,135550,1.0,112.95833333333333,770.7586720767245,770,189,1351,0.9891666666666666,1.0,1.0,2.998,0.030693472222222223,0.6122216666666667,14400,854064,161724,0,0.18935817456303042,14400
4,inf,False,True,1200,1500,135195,1.0,112.6625,772.0623321868412,773,189,1355,0.9908333333333333,1.0,1.0,2.998,0.030864166666666665,0.6115308333333334,14400,852975,161799,0,0.18968785720566253,14400
4,inf,False,False,1200,1500,135314,1.0,112.76166666666667,770.8953397283356,770,189,1353,0.9941666666666666,1.0,1.0,2.998,0.03100625,0.6116629166666666,14400,854415,162600,0,0.19030564772388125,14400
4,interval,True,True,1200,1500,132192,1.0,110.16,747.3043754538853,746,182,1314,0.7658333333333334,1.0,1.0,2.9171530555555556,0.034630416666666664,0.5847280555555556,14788,831515,157028,799,0.18884566123281,15199
4,interval,True,False,1200,1500,131872,1.0,109.89333333333333,751.680106466877,751,184,1318,0.7933333333333333,1.0,1.0,2.92,0.034494583333333335,0.5858294444444445,14400,831077,157424,0,0.18942167813572028,14400
4,interval,False,True,1200,1500,131728,1.0,109.77333333333333,750.7518219361108,750,184,1317,0.8,1.0,1.0,2.92,0.03398569444444444,0.5850530555555555,14400,832435,158317,0,0.1901854198826335,14400
4,interval,False,False,1200,1500,131634,1.0,109.695,752.6711791786316,753,185,1319,0.775,1.0,1.0,2.92,0.03453791666666667,0.5847904166666666,14400,830767,157662,0,0.18977884292467082,14400
