slope_kind,serve_mode,checkpoint_ticks,trials,loops_mean,loops_median,loops_p90,loops_p99
linear,inf,300,3000,19.834,20,24,28
linear,inf,900,3000,66.57233333333333,66,74,81
linear,inf,1800,3000,136.24466666666666,136,147,156
linear,interval,300,3000,16.885666666666665,17,21,24
linear,interval,900,3000,63.437666666666665,63,71,78
linear,interval,1800,3000,133.451,133,145,154
staged,inf,300,3000,19.943666666666665,20,24,28
staged,inf,900,3000,66.40533333333333,67,74,80
staged,inf,1800,3000,136.27766666666668,136,147,157
staged,interval,300,3000,16.914,17,21,24
staged,interval,900,3000,63.45033333333333,63,71,78
staged,interval,1800,3000,133.257,133,144,153
