slope_kind,requirement,relay_trials,relay_ticks,reached_frac,median_tick,p90_tick
linear,14660.0,300,3000,1.0,264,282
linear,15393.0,300,3000,1.0,270,288
linear,16126.000000000002,300,3000,1.0,276,294
linear,17592.0,300,3000,1.0,287,306
linear,21990.0,300,3000,1.0,319,339
linear,29320.0,300,3000,1.0,366,387
linear,34514.0,300,3000,1.0,396,418
linear,38988.0,300,3000,1.0,419,442
linear,58640.0,300,3000,1.0,511,535
linear,69028.0,300,3000,1.0,553,579
linear,77976.0,300,3000,1.0,587,614
linear,117280.0,300,3000,1.0,716,745
linear,135289.0,300,3000,1.0,768,798
linear,138056.0,300,3000,1.0,776,806
linear,142053.45,300,3000,1.0,787,817
linear,148817.90000000002,300,3000,1.0,805,835
linear,155952.0,300,3000,1.0,824,854
linear,162346.8,300,3000,1.0,840,871
linear,202933.5,300,3000,1.0,939,970
linear,270578.0,300,3000,1.0,1082,1114
linear,298976.0,300,3000,1.0,1136,1169
linear,324936.0,300,3000,1.0,1184,1217
linear,541156.0,300,3000,1.0,1522,1560
linear,542585.0,300,3000,1.0,1524,1562
linear,569714.25,300,3000,1.0,1560,1600
linear,596843.5,300,3000,1.0,1597,1636
linear,597952.0,300,3000,1.0,1598,1638
linear,649872.0,300,3000,1.0,1666,1707
linear,651102.0,300,3000,1.0,1667,1708
linear,813877.5,300,3000,1.0,1862,1906
linear,1082312.0,300,3000,1.0,2145,2195
linear,1085170.0,300,3000,1.0,2148,2198
linear,1169774.0,300,3000,1.0,2229,2281
linear,1195904.0,300,3000,1.0,2253,2306
linear,1242554.0,300,3000,1.0,2296,2349
linear,1299744.0,300,3000,1.0,2348,2401
linear,2170340.0,300,3000,0.27666666666666667,2984,2996
linear,2339548.0,300,3000,0.0,,
linear,2485108.0,300,3000,0.0,,
linear,4340680.0,300,3000,0.0,,
linear,4679096.0,300,3000,0.0,,
linear,4970216.0,300,3000,0.0,,
staged,11354.0,300,3000,1.0,265,282
staged,11921.7,300,3000,1.0,273,290
staged,12489.400000000001,300,3000,1.0,281,298
staged,13624.8,300,3000,1.0,297,313
staged,17031.0,300,3000,1.0,344,361
staged,22708.0,300,3000,1.0,423,439
staged,26382.0,300,3000,1.0,474,490
staged,29257.0,300,3000,1.0,514,530
staged,45416.0,300,3000,1.0,738,755
staged,52764.0,300,3000,1.0,841,857
staged,53893.5,300,3000,1.0,856,873
staged,56588.175,300,3000,1.0,894,910
staged,58514.0,300,3000,1.0,920,937
staged,59282.850000000006,300,3000,1.0,931,947
staged,64672.2,300,3000,1.0,1006,1022
staged,80840.25,300,3000,1.0,1230,1247
staged,90832.0,300,3000,1.0,1369,1386
staged,105528.0,300,3000,1.0,1573,1590
staged,107787.0,300,3000,1.0,1605,1621
staged,112506.0,300,3000,1.0,1670,1687
staged,115591.0,300,3000,1.0,1713,1730
staged,117028.0,300,3000,1.0,1733,1749
staged,118693.5,300,3000,1.0,1756,1773
staged,124628.175,300,3000,1.0,1839,1855
staged,130562.85,300,3000,1.0,1921,1937
staged,142432.19999999998,300,3000,1.0,2086,2102
staged,178040.25,300,3000,1.0,2580,2597
staged,215574.0,300,3000,0.0,,
staged,225012.0,300,3000,0.0,,
staged,231182.0,300,3000,0.0,,
staged,237387.0,300,3000,0.0,,
staged,242106.0,300,3000,0.0,,
staged,245191.0,300,3000,0.0,,
staged,431148.0,300,3000,0.0,,
staged,450024.0,300,3000,0.0,,
staged,462364.0,300,3000,0.0,,
staged,474774.0,300,3000,0.0,,
staged,484212.0,300,3000,0.0,,
staged,490382.0,300,3000,0.0,,
staged,949548.0,300,3000,0.0,,
staged,968424.0,300,3000,0.0,,
staged,980764.0,300,3000,0.0,,
