slope_kind,checkpoint_ticks,percentile,safety_factor,base_damage,requirement,clear_rate_serve_inf,clear_rate_serve_interval,under_1pct_both,relay_median_tick,relay_reached_frac
linear,300,0.5,2,14660.0,29320.0,0.0,0.0,True,366,1.0
linear,300,0.5,4,14660.0,58640.0,0.0,0.0,True,511,1.0
linear,300,0.5,8,14660.0,117280.0,0.0,0.0,True,716,1.0
linear,300,0.9,2,17257.0,34514.0,0.0,0.0,True,396,1.0
linear,300,0.9,4,17257.0,69028.0,0.0,0.0,True,553,1.0
linear,300,0.9,8,17257.0,138056.0,0.0,0.0,True,776,1.0
linear,300,0.99,2,19494.0,38988.0,0.0,0.0,True,419,1.0
linear,300,0.99,4,19494.0,77976.0,0.0,0.0,True,587,1.0
linear,300,0.99,8,19494.0,155952.0,0.0,0.0,True,824,1.0
linear,900,0.5,2,135289.0,270578.0,0.0,0.0,True,1082,1.0
linear,900,0.5,4,135289.0,541156.0,0.0,0.0,True,1522,1.0
linear,900,0.5,8,135289.0,1082312.0,0.0,0.0,True,2145,1.0
linear,900,0.9,2,149488.0,298976.0,0.0,0.0,True,1136,1.0
linear,900,0.9,4,149488.0,597952.0,0.0,0.0,True,1598,1.0
linear,900,0.9,8,149488.0,1195904.0,0.0,0.0,True,2253,1.0
linear,900,0.99,2,162468.0,324936.0,0.0,0.0,True,1184,1.0
linear,900,0.99,4,162468.0,649872.0,0.0,0.0,True,1666,1.0
linear,900,0.99,8,162468.0,1299744.0,0.0,0.0,True,2348,1.0
linear,1800,0.5,2,542585.0,1085170.0,0.0,0.0,True,2148,1.0
linear,1800,0.5,4,542585.0,2170340.0,0.0,0.0,True,2984,0.27666666666666667
linear,1800,0.5,8,542585.0,4340680.0,0.0,0.0,True,,0.0
linear,1800,0.9,2,584887.0,1169774.0,0.0,0.0,True,2229,1.0
linear,1800,0.9,4,584887.0,2339548.0,0.0,0.0,True,,0.0
linear,1800,0.9,8,584887.0,4679096.0,0.0,0.0,True,,0.0
linear,1800,0.99,2,621277.0,1242554.0,0.0,0.0,True,2296,1.0
linear,1800,0.99,4,621277.0,2485108.0,0.0,0.0,True,,0.0
linear,1800,0.99,8,621277.0,4970216.0,0.0,0.0,True,,0.0
staged,300,0.5,2,11354.0,22708.0,0.0,0.0,True,423,1.0
staged,300,0.5,4,11354.0,45416.0,0.0,0.0,True,738,1.0
staged,300,0.5,8,11354.0,90832.0,0.0,0.0,True,1369,1.0
staged,300,0.9,2,13191.0,26382.0,0.0,0.0,True,474,1.0
staged,300,0.9,4,13191.0,52764.0,0.0,0.0,True,841,1.0
staged,300,0.9,8,13191.0,105528.0,0.0,0.0,True,1573,1.0
staged,300,0.99,2,14628.5,29257.0,0.0,0.0,True,514,1.0
staged,300,0.99,4,14628.5,58514.0,0.0,0.0,True,920,1.0
staged,300,0.99,8,14628.5,117028.0,0.0,0.0,True,1733,1.0
staged,900,0.5,2,53893.5,107787.0,0.0,0.0,True,1605,1.0
staged,900,0.5,4,53893.5,215574.0,0.0,0.0,True,,0.0
staged,900,0.5,8,53893.5,431148.0,0.0,0.0,True,,0.0
staged,900,0.9,2,56253.0,112506.0,0.0,0.0,True,1670,1.0
staged,900,0.9,4,56253.0,225012.0,0.0,0.0,True,,0.0
staged,900,0.9,8,56253.0,450024.0,0.0,0.0,True,,0.0
staged,900,0.99,2,57795.5,115591.0,0.0,0.0,True,1713,1.0
staged,900,0.99,4,57795.5,231182.0,0.0,0.0,True,,0.0
staged,900,0.99,8,57795.5,462364.0,0.0,0.0,True,,0.0
staged,1800,0.5,2,118693.5,237387.0,0.0,0.0,True,,0.0
staged,1800,0.5,4,118693.5,474774.0,0.0,0.0,True,,0.0
staged,1800,0.5,8,118693.5,949548.0,0.0,0.0,True,,0.0
staged,1800,0.9,2,121053.0,242106.0,0.0,0.0,True,,0.0
staged,1800,0.9,4,121053.0,484212.0,0.0,0.0,True,,0.0
staged,1800,0.9,8,121053.0,968424.0,0.0,0.0,True,,0.0
staged,1800,0.99,2,122595.5,245191.0,0.0,0.0,True,,0.0
staged,1800,0.99,4,122595.5,490382.0,0.0,0.0,True,,0.0
staged,1800,0.99,8,122595.5,980764.0,0.0,0.0,True,,0.0
