slope_kind,checkpoint_ticks,percentile,safety_factor,base_damage,requirement,clear_rate_serve_inf,clear_rate_serve_interval,relay_median_tick,relay_reached_frac
linear,300,0.5,1.0,14660.0,14660.0,0.5,0.01633333333333333,264,1.0
linear,300,0.5,1.05,14660.0,15393.0,0.35133333333333333,0.006,270,1.0
linear,300,0.5,1.1,14660.0,16126.000000000002,0.23266666666666666,0.0003333333333333333,276,1.0
linear,300,0.5,1.2,14660.0,17592.0,0.07333333333333333,0.0,287,1.0
linear,300,0.5,1.5,14660.0,21990.0,0.0003333333333333333,0.0,319,1.0
linear,900,0.5,1.0,135289.0,135289.0,0.5,0.146,768,1.0
linear,900,0.5,1.05,135289.0,142053.45,0.2653333333333333,0.041666666666666664,787,1.0
linear,900,0.5,1.1,135289.0,148817.90000000002,0.111,0.009,805,1.0
linear,900,0.5,1.2,135289.0,162346.8,0.010333333333333333,0.0003333333333333333,840,1.0
linear,900,0.5,1.5,135289.0,202933.5,0.0,0.0,939,1.0
linear,1800,0.5,1.0,542585.0,542585.0,0.5,0.24066666666666667,1524,1.0
linear,1800,0.5,1.05,542585.0,569714.25,0.20733333333333334,0.06333333333333334,1560,1.0
linear,1800,0.5,1.1,542585.0,596843.5,0.053,0.012333333333333333,1597,1.0
linear,1800,0.5,1.2,542585.0,651102.0,0.0006666666666666666,0.0,1667,1.0
linear,1800,0.5,1.5,542585.0,813877.5,0.0,0.0,1862,1.0
staged,300,0.5,1.0,11354.0,11354.0,0.5,0.03766666666666667,265,1.0
staged,300,0.5,1.05,11354.0,11921.7,0.35,0.011333333333333334,273,1.0
staged,300,0.5,1.1,11354.0,12489.400000000001,0.217,0.004,281,1.0
staged,300,0.5,1.2,11354.0,13624.8,0.05466666666666667,0.0,297,1.0
staged,300,0.5,1.5,11354.0,17031.0,0.0,0.0,344,1.0
staged,900,0.5,1.0,53893.5,53893.5,0.5,0.062,856,1.0
staged,900,0.5,1.05,53893.5,56588.175,0.06166666666666667,0.0,894,1.0
staged,900,0.5,1.1,53893.5,59282.850000000006,0.0,0.0,931,1.0
staged,900,0.5,1.2,53893.5,64672.2,0.0,0.0,1006,1.0
staged,900,0.5,1.5,53893.5,80840.25,0.0,0.0,1230,1.0
staged,1800,0.5,1.0,118693.5,118693.5,0.5,0.062,1756,1.0
staged,1800,0.5,1.05,118693.5,124628.175,0.0,0.0,1839,1.0
staged,1800,0.5,1.1,118693.5,130562.85,0.0,0.0,1921,1.0
staged,1800,0.5,1.2,118693.5,142432.19999999998,0.0,0.0,2086,1.0
staged,1800,0.5,1.5,118693.5,178040.25,0.0,0.0,2580,1.0
